Bitmap Tech,https://www.bitmaptech.com/,Contact form or info@bitmaptech.com
Promact,https://promactinfo.com/,Look for "Careers" or Contact form
Chamberlain Group,https://www.chamberlain.com/,Look for "Careers" or Jobs page
Sankey Solutions,https://sankeysolutions.com/,https://sankeysolutions.com/careers
Quick Heal Technologies,https://www.quickheal.com/,https://www.quickheal.com/careers/
e-Zest Solutions,https://www.e-zest.com/,https://www.e-zest.com/careers
Mihir Systems,https://mihir.com/,Contact form or info@mihir.com
Nitor Infotech,https://nitorinfotech.com/,https://nitorinfotech.com/careers/
SoftLink International Pvt. Ltd.,https://www.softlinkinternational.com/,Contact form or careers@softlinkinternational.com
Sarjen Systems Pvt. Ltd.,https://www.sarjensystems.com/,Look for "Careers" section
eInfochips (an Arrow Company),https://www.einfochips.com/,https://www.einfochips.com/company/careers/
Seed Infotech,https://www.seedinfotech.com/,https://www.seedinfotech.com/careers/
ValueLabs,https://www.valuelabs.com/,https://www.valuelabs.com/careers/
RutuSoft,https://rutusoft.com/,Contact form or info@rutusoft.com
Suma Soft Pvt. Ltd.,https://www.sumasoft.com/,https://www.sumasoft.com/careers/
Trigyn Technologies,https://www.trigyn.com/,https://www.trigyn.com/careers/
TechVedika,https://www.techvedika.com/,https://www.techvedika.com/careers/
Torry Harris Business Solutions,https://www.thbs.com/,https://www.thbs.com/careers
Vertoz Advertising Ltd.,https://www.vertoz.com/,https://www.vertoz.com/careers/
Webfosys Group,https://webfosys.com/,Contact form or info@webfosys.com
Winjit Technologies,https://www.winjit.com/,https://www.winjit.com/careers
Zenith Infotech,http://www.zenithinfotech.com/,Contact form or info@zenithinfotech.com
Hexaware Technologies,https://hexaware.com/,https://hexaware.com/careers/
Coforge,https://www.coforge.com/,https://www.coforge.com/careers
Infrasoft Technologies,https://www.infrasofttech.com/,https://www.infrasofttech.com/careers/
Mphasis,https://www.mphasis.com/,https://www.mphasis.com/careers.html
Quinnox,https://www.quinnox.com/,https://www.quinnox.com/careers
Sonata Software,https://www.sonata-software.com/,https://www.sonata-software.com/careers/
Subex,https://subex.com/,https://subex.com/careers/
Integra Micro Systems,https://www.integramicro.com/,https://www.integramicro.com/careers/
Softcell Technologies Global Pvt. Ltd.,https://www.softcell.com/,https://www.softcell.com/careers/
Veritas Technologies,https://www.veritas.com/,https://www.veritas.com/careers
Commvault,https://www.commvault.com/,https://www.commvault.com/careers
ServiceNow,https://www.servicenow.com/,https://careers.servicenow.com/
Google India (Pune office focuses on specific areas),https://about.google/locations/pune/,https://careers.google.com/
Amazon India (Pune office for certain operations),https://www.amazon.in/,https://www.amazon.jobs/
Simplilearn,https://www.simplilearn.com/,https://www.simplilearn.com/careers
Byju's (Tech team presence),https://byjus.com/,https://byjus.com/careers/
TATA Motors (IT/Digital division),https://www.tatamotors.com/,Look for "Careers" on their main site
Bajaj Finserv (IT/Digital team),https://www.bajajfinserv.in/,Look for "Careers" on their main site
L&T Technology Services,https://www.ltts.com/,https://www.ltts.com/careers
KPIT Cummins (now KPIT),[suspicious link removed]
Mphasis,https://www.mphasis.com/,https://www.mphasis.com/careers.html
Nagarro,https://www.nagarro.com/,https://www.nagarro.com/en/careers
Nelito Systems,https://www.nelito.com/,https://www.nelito.com/careers
Nucleus Software,https://www.nucleussoftware.com/,https://www.nucleussoftware.com/careers
Rolta India,https://www.rolta.com/,https://www.rolta.com/careers/
Symphony Technology Group (STG),https://www.symphonytech.com/,Check individual portfolio companies for careers
Tekizma Inc.,https://www.tekizma.com/,Contact form
TrellisSoft,https://www.trellissoft.com/,Contact form
Verve Logic,https://vervelogic.com/,https://vervelogic.com/career/
Webenza,https://webenza.com/,Contact form
Xoriant,https://www.xoriant.com/,https://www.xoriant.com/careers
Zentree Labs,https://zentreelabs.com/,Contact form
Annalect (part of Omnicom Media Group),https://www.annalect.com/,https://www.annalect.com/careers
Artech Infosystems,https://www.artechinfo.com/,https://www.artechinfo.com/careers
BOSC Tech,https://bosc.in/,Contact form or info@bosc.in
CGI (Pune office),https://www.cgi.com/india/en-in,https://www.cgi.com/india/en-in/careers
Collabera,https://www.collabera.com/,https://www.collabera.com/career/
Data Bridge Market Research,https://www.databridgemarketresearch.com/,Contact form or info@databridgemarketresearch.com
DigiLantern,https://digilantern.com/,Contact form or info@digilantern.com
Emtec Digital,https://www.emtec.digital/,https://www.emtec.digital/careers
EXL Service,https://www.exlservice.com/,https://www.exlservice.com/careers
Extron,https://www.extron.com/,https://www.extron.com/company/careers
Fiserv,https://www.fiserv.com/,https://careers.fiserv.com/
Globant,https://www.globant.com/,https://www.globant.com/careers
Great Learning,https://www.greatlearning.in/,https://www.greatlearning.in/careers
HighRadius,https://www.highradius.com/,https://www.highradius.com/careers
Icertis,https://www.icertis.com/,https://www.icertis.com/careers
Incture Technologies,https://incture.com/,https://incture.com/careers/
Infosys BPM,https://www.infosysbpm.com/,https://www.infosysbpm.com/careers.html
Infor,https://www.infor.com/,https://www.infor.com/about/careers
Intellect Design Arena,https://www.intellectdesign.com/,https://www.intellectdesign.com/careers/
Interactive Brokers,https://www.interactivebrokers.com/en/index.php,https://www.interactivebrokers.com/en/index.php?f=1454&p=careers
Internet Marketing Company (IMC),https://www.internetmarketingco.com/,Contact form
iSource IT,https://isourceit.com/,Contact form
ITC Infotech (re-add for completeness),https://www.itcportal.com/itc-infotech/index.aspx,https://www.itcportal.com/itc-infotech/careers.aspx
Jade Global,https://www.jadeglobal.com/,https://www.jadeglobal.com/careers/
Jazz by HMD Global,https://www.hmdglobal.com/,Look for careers section on HMD Global site
Kaar Technologies,https://www.kaartech.com/,https://www.kaartech.com/careers/
KPMG Global Services (IT/Advisory),https://kpmg.com/in/en/home.html,https://kpmg.com/in/en/home/careers.html
Lam Research,https://www.lamresearch.com/,https://www.lamresearch.com/careers
Mastek,https://www.mastek.com/,https://www.mastek.com/careers/
Maven Wave Partners (part of Atos),https://www.mavenwave.com/,Check Atos careers
Meritech,https://www.meritech.in/,Contact form or info@meritech.in
Mindtree (now LTIMindtree),https://www.ltimindtree.com/,https://www.ltimindtree.com/careers/
Miracle Software Systems,https://www.miraclesoft.com/,https://www.miraclesoft.com/careers
Mondelez International (IT GSC),https://www.mondelezinternational.com/,Look for careers on their global site
NetCracker Technology,https://www.netcracker.com/,https://www.netcracker.com/careers/
Netwin Infosolutions,https://www.netwinindia.com/,Contact form or info@netwinindia.com
Nihilent Technologies,https://www.nihilent.com/,https://www.nihilent.com/careers/
Nityo Infotech,https://nityo.com/,https://nityo.com/careers/
Oceaneering International,https://www.oceaneering.com/,https://www.oceaneering.com/careers
OFSS (Oracle Financial Services Software),https://www.oracle.com/industries/financial-services/oracle-fss/index.html,Look for careers on Oracle's site or OFSS direct
Perficient,https://www.perficient.com/,https://www.perficient.com/careers/
Persistent Systems (re-add for completeness),https://www.persistent.com/,https://www.persistent.com/careers/
PwC India (IT/Consulting),https://www.pwc.in/,https://www.pwc.in/careers.html
Quantiphi,https://quantiphi.com/,https://quantiphi.com/careers/
QuEST Global,https://www.quest-global.com/,https://www.quest-global.com/careers/
R Systems International,https://www.rsystems.com/,https://www.rsystems.com/careers/
Red Hat,https://www.redhat.com/en/global/india,https://careers.redhat.com/
Reverie Language Technologies,https://reverieinc.com/,Contact form
Rikun IT Services,https://rikunitservices.com/,Contact form or info@rikunitservices.com
Rockwell Automation,https://www.rockwellautomation.com/en-in.html,https://www.rockwellautomation.com/en-in/company/careers.html
Sage Software Solutions,https://www.sagesoftware.co.in/,https://www.sagesoftware.co.in/company/careers/
SAS Institute,https://www.sas.com/en_in/home.html,https://www.sas.com/en_us/careers.html
Sasken Technologies,https://www.sasken.com/,https://www.sasken.com/careers
Softenger,https://www.softenger.com/,Contact form or info@softenger.com
Steria (now part of Sopra Steria),https://www.soprasteria.com/india,https://www.soprasteria.com/india/careers
Sungard (now FIS - for some parts),https://www.fisglobal.com/,https://careers.fisglobal.com/
TATA Technologies,https://www.tatatechnologies.com/,https://www.tatatechnologies.com/careers/
Tech Mahindra (re-add for completeness),https://www.techmahindra.com/,https://www.techmahindra.com/en-in/careers/
Torry Harris Business Solutions (re-add),https://www.thbs.com/,https://www.thbs.com/careers
ValueLabs (re-add),https://www.valuelabs.com/,https://www.valuelabs.com/careers/
Virtusa,https://www.virtusa.com/,https://www.virtusa.com/careers/
WNS Global Services (re-add for completeness),https://www.wns.com/,https://www.wns.com/careers
Yash Technologies,https://www.yash.com/,https://www.yash.com/careers
Zensar Technologies (re-add for completeness),https://www.zensar.com/,https://www.zensar.com/careers
